Category,State/UT,"Required - [R] - (As on 31st March, 2016)","Sanctioned - [S] - (As on 31st March, 2016)","In Position - [P] - (As on 31st March, 2016)","Vacant - [S-P] - (As on 31st March, 2016)","Note of Vacant - [S-P] - (As on 31st March, 2016)","Shortfall - [R-P] - (As on 31st March, 2016)","Note of Shortfall - [R-P] - (As on 31st March, 2016)"
State,Andhra Pradesh,1075,2270,1412,858,NA,NA,*
State,Arunachal Pradesh,143,NA,122,NA,NA,21,NA
State,Assam,1014,NA,932,NA,NA,82,NA
State,Bihar,1802,2078,1786,292,NA,16,NA
State,Chhattisgarh,790,777,344,433,NA,446,NA
State,Goa,22,48,56,NA,*,NA,*
State,Gujarat,1314,1697,1105,592,NA,209,NA
State,Haryana,474,635,489,146,NA,NA,*
State,Himachal Pradesh,518,636,424,212,NA,94,NA
State,Jammu & Kashmir,637,1347,761,586,NA,NA,*
State,Jharkhand,327,327,271,56,NA,56,NA
State,Karnataka,2353,2353,2133,220,NA,220,NA
State,Kerala,824,1120,1169,NA,*,NA,*
State,Madhya Pradesh,1171,1771,946,825,NA,225,NA
State,Maharashtra,1811,3009,2927,82,NA,NA,*
State,Manipur,85,238,194,44,NA,NA,*
State,Meghalaya,109,128,105,23,NA,4,NA
State,Mizoram,57,152,71,81,NA,NA,*
State,Nagaland,126,108,120,NA,*,6,NA
State,Odisha,1305,1312,959,353,NA,346,NA
State,Punjab,427,518,494,24,NA,NA,*
State,Rajasthan,2080,2807,2422,385,NA,NA,*
State,Sikkim,24,NA,26,NA,NA,NA,*
State,Tamil Nadu,1368,2927,2751,176,NA,NA,*
State,Telangana,668,1318,1024,294,NA,NA,*
State,Tripura,94,158,147,11,NA,NA,*
State,Uttarakhand,257,386,215,171,NA,42,NA
State,Uttar Pradesh,3497,4509,2209,2300,NA,1288,NA
State,West Bengal,909,1324,721,603,NA,188,NA
Union Territory,A& N Islands,22,42,36,6,NA,NA,*
Union Territory,Chandigarh,3,0,2,NA,*,1,NA
Union Territory,D & N Haveli,11,6,11,NA,*,0,NA
Union Territory,Daman & Diu,4,3,7,NA,*,NA,*
Union Territory,Delhi,5,21,20,1,NA,NA,*
Union Territory,Lakshadweep,4,5,7,NA,*,NA,*
Union Territory,Puducherry,24,38,46,NA,*,NA,*
All India/ Total,All India/ Total,25354,34068,26464,8774,NA,3244,NA
